Group,NorthamID,sowRL_mean_Ctl,sowRL_mean_Mn,harvestRL_mean_Ctl,harvestRL_mean_Mn,RTI_mean_Ctl,RTI_mean_Mn,ChangeRL_mean_Ctl,ChangeRL_mean_Mn,Stdry_perP_Ctl,Stdry_perP_Mn,Rtdry_perP_Ctl,Rtdry_perP_Mn,RRL,RRTI,RRtdry,RStdry
Exp1,10001,34.77777777777778,31.33333333333333,220.0,165.2777777777778,6.040745295408136,5.06100887081405,183.66666666666663,131.94444444444443,0.2035,0.1305,0.1118333333333333,0.0675555555555555,0.7512626262626264,0.8378119955928566,0.6040735221063089,0.6412776412776413
Exp1,10002,36.77777777777778,40.55555555555555,260.55555555555554,160.0,8.277555157865615,4.753189080173207,223.77777777777771,119.44444444444446,0.1414444444444444,0.1082222222222222,0.0817777777777777,0.0554444444444444,0.6140724946695096,0.5742262044193767,0.6779891304347827,0.7651217596229378
Exp1,10003,35.0,44.22222222222223,248.8888888888889,195.33333333333331,6.842983728736416,4.738519142649306,212.44444444444449,151.11111111111111,0.1481111111111111,0.1117777777777778,0.0762222222222222,0.0504444444444444,0.7848214285714286,0.6924638915551378,0.6618075801749271,0.7546886721680421
Exp1,10004,45.22222222222222,43.11111111111112,275.1666666666667,190.5555555555556,6.832542740228398,5.566288957955624,229.6111111111111,150.22222222222223,0.1719444444444444,0.1763333333333333,0.0902222222222222,0.0753333333333333,0.6925095901473854,0.8146731267676717,0.834975369458128,1.025525040387722
Exp1,10005,38.66666666666666,33.0,261.9444444444444,187.2222222222222,7.623247745556811,8.182383040935674,222.2777777777778,154.22222222222223,0.1535555555555555,0.1143333333333333,0.0834444444444444,0.0568888888888888,0.7147401908801697,1.073346074277168,0.6817576564580559,0.7445730824891462
Exp1,10006,26.33333333333333,23.88888888888889,217.5,143.88888888888889,7.857212232212233,6.9908433070197775,188.16666666666663,118.22222222222224,0.1463333333333333,0.1082222222222222,0.077,0.0478888888888888,0.6615581098339719,0.8897358376498218,0.621933621933622,0.7395596051632497
Exp1,10009,29.33333333333333,27.444444444444446,181.94444444444449,146.66666666666666,7.347137611672495,5.005370247742483,150.83333333333334,117.3888888888889,0.136,0.0997777777777777,0.0751666666666666,0.0509444444444444,0.8061068702290075,0.6812680682325025,0.6777531411677755,0.7336601307189542
Exp1,10011,36.44444444444444,40.11111111111112,193.61111111111111,157.22222222222223,5.10818801603906,3.879068163628887,154.88888888888889,116.6111111111111,0.1693888888888889,0.1093888888888888,0.0730555555555555,0.0473888888888888,0.8120516499282641,0.759382417297309,0.6486692015209126,0.645785503443752
Exp1,10014,36.0,38.0,239.88888888888889,152.2222222222222,7.327761356958464,4.1184647628896975,203.88888888888889,111.6111111111111,0.2476666666666666,0.157,0.1241111111111111,0.0622777777777777,0.6345530338119499,0.5620358745688123,0.5017905102954341,0.6339165545087483
Exp1,10015,40.88888888888889,41.77777777777778,235.2777777777778,154.16666666666666,5.597477753727753,4.585648695121424,193.0,110.94444444444446,0.2072777777777777,0.1302777777777778,0.1041666666666666,0.0569999999999999,0.6552538370720188,0.8192348226962617,0.5471999999999999,0.6285178236397749
Exp1,10016,37.77777777777778,39.88888888888889,190.0,155.55555555555554,5.3763049465663855,4.447115883390393,153.11111111111111,114.55555555555556,0.1861111111111111,0.1497222222222222,0.0754444444444444,0.0598333333333333,0.8187134502923976,0.8271695760543818,0.7930780559646541,0.8044776119402985
Exp1,10017,30.444444444444446,39.61111111111112,263.3333333333333,173.33333333333334,8.944646040234275,4.91070881572121,229.0833333333333,133.7222222222222,0.1962499999999999,0.1921111111111111,0.0940833333333333,0.0817222222222222,0.6582278481012659,0.5490109718855449,0.8686152937702983,0.9789101203113943
Exp1,10025,33.77777777777778,31.111111111111114,229.44444444444443,175.8888888888889,7.111313198118753,6.090088923422257,195.66666666666663,144.77777777777777,0.176,0.1306666666666666,0.084,0.0586666666666666,0.7665859564164651,0.856394417423964,0.6984126984126984,0.7424242424242424
Exp1,10026,51.77777777777778,56.66666666666666,227.66666666666663,177.2222222222222,4.697960551599329,3.232028660453318,175.8888888888889,120.55555555555554,0.1855555555555555,0.1594444444444444,0.0953333333333333,0.0597777777777777,0.7784285017081503,0.6879641974330833,0.6270396270396269,0.8592814371257483
Exp1,10027,46.55555555555555,43.333333333333336,271.11111111111114,201.1111111111111,5.910276425813149,4.677959606531036,224.5555555555556,157.77777777777777,0.2183333333333333,0.1682222222222222,0.1031111111111111,0.0736666666666666,0.7418032786885244,0.7914959080593987,0.7144396551724138,0.7704834605597962
Exp1,10028,39.77777777777778,39.66666666666666,177.7777777777778,148.88888888888889,4.659403074106643,4.398007856341189,138.0,109.2222222222222,0.1584444444444444,0.1261111111111111,0.0696666666666666,0.0496666666666666,0.8374999999999999,0.9438994193874132,0.7129186602870814,0.7959326788218795
Exp1,10029,45.55555555555555,44.22222222222222,259.4444444444444,205.0,5.976955813312251,5.09667358031333,213.88888888888889,160.77777777777777,0.236,0.1785555555555555,0.1114444444444444,0.0753333333333333,0.7901498929336189,0.8527206389850999,0.6759720837487537,0.7565913370998117
Exp1,10031,37.44444444444444,34.22222222222222,238.7777777777778,190.2777777777778,6.381404940336396,6.647469864013982,197.33333333333331,152.61111111111111,0.1921111111111111,0.118,0.1134444444444444,0.0617222222222222,0.7968822708236389,1.041693784701831,0.5440744368266406,0.614227877385772
